first_name,last_name,email,phone_number,hire_date,salary
Steven,King,steven.king@sqltutorial.org,515.123.4567,1987-06-17,240000.00
Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,1989-09-21,170000.00
Lex,De Haan,lex.de haan@sqltutorial.org,515.123.4569,1993-01-13,170000.00
Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,1990-01-03,90000.00
Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,1991-05-21,60000.00
David,Austin,david.austin@sqltutorial.org,590.423.4569,1997-06-25,48000.00
Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,1998-02-05,48000.00
Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,1999-02-07,42000.00
Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,1994-08-17,120000.00
Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,1994-08-16,90000.00
John,Chen,john.chen@sqltutorial.org,515.124.4269,1997-09-28,82000.00
Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,1997-09-30,77000.00
Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,515.124.4469,1998-03-07,78000.00
Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,1999-12-07,69000.00
Den,Raphaely,den.raphaely@sqltutorial.org,515.127.4561,1994-12-07,110000.00
Alexander,Khoo,alexander.khoo@sqltutorial.org,515.127.4562,1995-05-18,31000.00
Shelli,Baida,shelli.baida@sqltutorial.org,515.127.4563,1997-12-24,29000.00
Sigal,Tobias,sigal.tobias@sqltutorial.org,515.127.4564,1997-07-24,28000.00
Guy,Himuro,guy.himuro@sqltutorial.org,515.127.4565,1998-11-15,26000.00
Karen,Colmenares,karen.colmenares@sqltutorial.org,515.127.4566,1999-08-10,25000.00
Matthew,Weiss,matthew.weiss@sqltutorial.org,650.123.1234,1996-07-18,80000.00
Adam,Fripp,adam.fripp@sqltutorial.org,650.123.2234,1997-04-10,82000.00
Payam,Kaufling,payam.kaufling@sqltutorial.org,650.123.3234,1995-05-01,79000.00
Shanta,Vollman,shanta.vollman@sqltutorial.org,650.123.4234,1997-10-10,65000.00
Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,650.124.1224,1998-09-28,27000.00
John,Russell,john.russell@sqltutorial.org,,1996-10-01,140000.00
Karen,Partners,karen.partners@sqltutorial.org,,1997-01-05,135000.00
Jonathon,Taylor,jonathon.taylor@sqltutorial.org,,1998-03-24,86000.00
Jack,Livingston,jack.livingston@sqltutorial.org,,1998-04-23,84000.00
Kimberely,Grant,kimberely.grant@sqltutorial.org,,1999-05-24,70000.00
Charles,Johnson,charles.johnson@sqltutorial.org,,2000-01-04,62000.00
Sarah,Bell,sarah.bell@sqltutorial.org,650.501.1876,1996-02-04,40000.00
Britney,Everett,britney.everett@sqltutorial.org,650.501.2876,1997-03-03,39000.00
Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515.123.4444,1987-09-17,44000.00
Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,1996-02-17,130000.00
Pat,Fay,pat.fay@sqltutorial.org,603.123.6666,1997-08-17,60000.00
Susan,Mavris,susan.mavris@sqltutorial.org,515.123.7777,1994-06-07,65000.00
Hermann,Baer,hermann.baer@sqltutorial.org,515.123.8888,1994-06-07,100000.00
Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,1994-06-07,120000.00
William,Gietz,william.gietz@sqltutorial.org,515.123.8181,1994-06-07,83000.00
Tori,Laure,torilaure@abc.com,123.456.7890,2022-07-06,560000.00
Data,Conversion Only,none,,2016-05-31,99999.00
Kayla,Woodcock,kaylaw@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Hudson,Onslow,hudsono@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Isabella,Rupp,isabellar@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Eva,Muirden,evam@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Sophia,Hinton,sophiah@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Amy,Trefl,amyt@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Anthony,Grosse,anthonyg@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Alica,Fatnowna,alicaf@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Stella,Rosenhain,stellar@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Ethan,Onslow,ethano@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Henry,Forlonge,henryf@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Hudson,Hollinworth,hudsonh@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Lily,Code,lilyc@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Taj,Shand,tajs@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Archer,Lamble,archerl@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Piper,Koch,piperk@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Katie,Darwin,katied@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Jai,Shand,jais@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Jack,Potter,jackp@wideworldimporters.com,(415) 555-0102,2016-05-31,99999.00
Reio,Kabin,reio@adatum.com,(847) 555-0100,2016-05-31,99999.00
Oliver,Kivi,olly@adatum.com,(847) 555-0100,2016-05-31,99999.00
Hanna,Mihhailov,hannam@contoso.com,(360) 555-0100,2016-05-31,99999.00
Paulus,Lippmaa,paulusl@contoso.com,(360) 555-0100,2016-05-31,99999.00
Kerstin,Parn,kerstin@consolidatedmessenger.com,(415) 555-0100,2016-05-31,99999.00
Helen,Ahven,helen@consolidatedmessenger.com,(415) 555-0100,2016-05-31,99999.00
Bill,Lawson,billl@fabrikam.com,(203) 555-0107,2016-05-31,99999.00
Helen,Moore,helenm@fabrikam.com,(203) 555-0104,2016-05-31,99999.00
Penny,Buck,pennyb@graphicdesigninstitute.com,(406) 555-0107,2016-05-31,99999.00
Donna,Smith,donnas@graphicdesigninstitute.com,(406) 555-0101,2016-05-31,99999.00
Madelaine, Cartier,madelainec@humongousinsurance.com,(423) 555-0101,2016-05-31,99999.00
Annette,Talon,annettet@humongousinsurance.com,(423) 555-0106,2016-05-31,99999.00
Elias,Myllari,eliasm@litwareinc.com,(209) 555-0101,2016-05-31,99999.00
